               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03679,            0.021494,            0.031362,             0.19802,             0.96384,             0.24515,             0.19957,           0.0090923,           0.0031235,            0.015965,            0.070018,           0.0033313,           0.0033313
                   1,            0.022148,             0.01278,              0.0301,             0.19997,             0.99981,             0.22937,             0.18938,           0.0069233,           0.0019156,            0.015756,            0.039799,           0.0064447,           0.0064447
                   2,            0.019145,            0.010547,            0.030007,             0.19983,                   1,             0.24436,             0.21261,           0.0059988,           0.0016406,            0.015715,           0.0093586,           0.0093381,           0.0093381
                   3,            0.015705,           0.0094141,            0.029892,             0.19992,                   1,             0.25678,             0.23931,           0.0042178,           0.0015403,            0.015592,             0.00901,             0.00901,             0.00901
                   4,              0.0126,           0.0084914,            0.029738,             0.19993,                   1,             0.26107,             0.25559,           0.0045377,           0.0011764,            0.015516,             0.00901,             0.00901,             0.00901
                   5,            0.011096,           0.0077305,            0.029982,             0.20033,                   1,              0.2545,             0.22587,           0.0039704,           0.0014035,            0.015486,             0.00868,             0.00868,             0.00868
                   6,           0.0098806,           0.0072264,            0.029845,              0.1999,                   1,             0.25783,             0.25323,             0.00233,            0.001295,            0.015545,             0.00835,             0.00835,             0.00835
                   7,            0.009064,           0.0068558,            0.029929,             0.20351,              0.9952,             0.25282,             0.25207,           0.0018814,           0.0015985,            0.015483,             0.00802,             0.00802,             0.00802
                   8,           0.0084249,           0.0065786,            0.029957,             0.19992,                   1,             0.25896,             0.25634,           0.0024389,           0.0015207,            0.015492,             0.00769,             0.00769,             0.00769
                   9,           0.0076993,           0.0062506,            0.029629,             0.19994,                   1,             0.26081,             0.24677,            0.004126,           0.0015491,            0.015524,             0.00736,             0.00736,             0.00736
                  10,             0.00749,           0.0061598,            0.029978,             0.20658,               0.992,             0.27278,              0.2702,           0.0028324,           0.0018561,            0.015471,             0.00703,             0.00703,             0.00703
                  11,           0.0069785,           0.0058872,            0.029622,             0.21334,              0.9648,             0.27252,             0.26976,            0.001983,           0.0022381,            0.015421,              0.0067,              0.0067,              0.0067
                  12,           0.0065921,           0.0056727,             0.02968,             0.19994,                   1,             0.26995,             0.26047,           0.0023861,           0.0016592,            0.015478,             0.00637,             0.00637,             0.00637
                  13,           0.0060925,           0.0055407,            0.029709,              0.2151,              0.9648,             0.26489,             0.26078,           0.0016929,           0.0017528,            0.015479,             0.00604,             0.00604,             0.00604
                  14,           0.0059497,           0.0052963,            0.029748,             0.21493,              0.9648,             0.27494,             0.26893,           0.0016089,             0.00214,            0.015455,             0.00571,             0.00571,             0.00571
                  15,           0.0055221,           0.0051568,            0.029489,             0.21506,              0.9648,             0.27041,             0.26999,            0.001696,           0.0021276,            0.015443,             0.00538,             0.00538,             0.00538
                  16,           0.0052317,           0.0051152,            0.029451,             0.21509,              0.9648,             0.27607,             0.27311,           0.0016231,           0.0016667,            0.015424,             0.00505,             0.00505,             0.00505
                  17,           0.0051036,            0.004834,            0.029721,             0.21701,              0.9456,             0.26844,             0.26707,           0.0014717,           0.0024921,            0.015403,             0.00472,             0.00472,             0.00472
                  18,            0.004745,           0.0046105,            0.029443,             0.21507,              0.9648,             0.27798,             0.27685,           0.0016972,           0.0014544,            0.015372,             0.00439,             0.00439,             0.00439
                  19,           0.0044995,           0.0047217,             0.02952,             0.21363,              0.9648,             0.26806,             0.26719,           0.0015551,           0.0021366,            0.015404,             0.00406,             0.00406,             0.00406
                  20,           0.0044082,           0.0045603,             0.02964,             0.21507,              0.9648,             0.26709,             0.26266,           0.0019815,           0.0015768,            0.015416,             0.00373,             0.00373,             0.00373
                  21,           0.0042445,           0.0043971,            0.030004,             0.21457,              0.9648,             0.26893,             0.26854,            0.001452,            0.001753,            0.015422,              0.0034,              0.0034,              0.0034
                  22,           0.0039048,           0.0042576,            0.030097,             0.21508,              0.9648,             0.26939,             0.26855,             0.00132,           0.0019828,            0.015432,             0.00307,             0.00307,             0.00307
                  23,           0.0036836,           0.0040911,            0.029627,             0.21511,              0.9648,             0.27406,             0.27194,           0.0015257,           0.0020016,            0.015417,             0.00274,             0.00274,             0.00274
                  24,           0.0034978,           0.0039974,            0.029827,             0.21509,              0.9648,             0.27823,              0.2763,           0.0015165,           0.0013328,            0.015398,             0.00241,             0.00241,             0.00241
                  25,           0.0031987,           0.0037501,            0.029474,             0.21513,              0.9648,             0.27576,             0.27431,             0.00148,           0.0014646,            0.015418,             0.00208,             0.00208,             0.00208
                  26,            0.003149,           0.0038556,            0.029665,             0.21514,              0.9648,             0.28212,             0.28004,           0.0013641,              0.0022,            0.015408,             0.00175,             0.00175,             0.00175
                  27,           0.0030308,           0.0036584,            0.029808,             0.21513,              0.9648,             0.28267,             0.28247,            0.001275,           0.0020641,            0.015398,             0.00142,             0.00142,             0.00142
                  28,           0.0029341,           0.0037219,            0.029882,             0.21511,              0.9648,              0.2817,             0.28136,           0.0013093,           0.0019363,            0.015372,             0.00109,             0.00109,             0.00109
                  29,           0.0028449,           0.0036072,             0.02963,             0.21511,              0.9648,             0.28344,             0.28171,           0.0013242,           0.0019634,            0.015366,             0.00076,             0.00076,             0.00076
